,n_vulns,vulns,cvss
./shodan-output/18F.GOV.json,0,set(),0.0
./shodan-output/2020CENSUS.GOV.json,0,set(),0.0
./shodan-output/29PALMSBOMI-NSN.GOV.json,5,"{'CVE-2012-2531', 'CVE-2010-3972', 'CVE-2010-1899', 'CVE-2010-2730', 'CVE-2010-1256'}",34.2
./shodan-output/29PALMSGAMING-NSN.GOV.json,0,set(),0.0
./shodan-output/511WI.GOV.json,0,set(),0.0
./shodan-output/9-11COMMISSION.GOV.json,24,"{'CVE-2017-9788', 'CVE-2016-0736', 'CVE-2014-0231', 'CVE-2016-8612', 'CVE-2014-0226', 'CVE-2013-4352', 'CVE-2014-0117', 'CVE-2014-8109', 'CVE-2016-8743', 'CVE-2017-15715', 'CVE-2015-3185', 'CVE-2014-0098', 'CVE-2013-6438', 'CVE-2018-1283', 'CVE-2017-15710', 'CVE-2016-4975', 'CVE-2015-3184', 'CVE-2018-17199', 'CVE-2017-9798', 'CVE-2014-0118', 'CVE-2016-2161', 'CVE-2017-7679', 'CVE-2018-1312', 'CVE-2014-3523'}",121.89999999999999
./shodan-output/911.GOV.json,0,set(),0.0
./shodan-output/911COMMISSION.GOV.json,24,"{'CVE-2017-9788', 'CVE-2016-0736', 'CVE-2014-0231', 'CVE-2016-8612', 'CVE-2014-0226', 'CVE-2013-4352', 'CVE-2014-0117', 'CVE-2014-8109', 'CVE-2016-8743', 'CVE-2017-15715', 'CVE-2015-3185', 'CVE-2013-6438', 'CVE-2014-0098', 'CVE-2018-1283', 'CVE-2017-15710', 'CVE-2016-4975', 'CVE-2015-3184', 'CVE-2018-17199', 'CVE-2017-9798', 'CVE-2014-0118', 'CVE-2016-2161', 'CVE-2017-7679', 'CVE-2018-1312', 'CVE-2014-3523'}",121.89999999999999
./shodan-output/ABANDONEDMINES.GOV.json,149,"{'CVE-2013-7456', 'CVE-2018-14884', 'CVE-2017-11147', 'CVE-2016-4538', 'CVE-2017-3167', 'CVE-2018-19395', 'CVE-2017-6377', 'CVE-2016-5766', 'CVE-2017-6381', 'CVE-2017-6919', 'CVE-2019-9021', 'CVE-2015-0253', 'CVE-2018-10546', 'CVE-2016-7125', 'CVE-2016-8670', 'CVE-2018-14883', 'CVE-2019-9637', 'CVE-2016-7124', 'CVE-2016-6295', 'CVE-2017-6921', 'CVE-2018-10545', 'CVE-2016-10160', 'CVE-2016-4541', 'CVE-2016-3078', 'CVE-2016-5769', 'CVE-2017-11145', 'CVE-2019-9023', 'CVE-2017-6929', 'CVE-2017-11142', 'CVE-2017-11362', 'CVE-2017-9788', 'CVE-2018-19396', 'CVE-2016-5772', 'CVE-2019-9639', 'CVE-2018-1333', 'CVE-2016-6294', 'CVE-2016-5767', 'CVE-2016-7126', 'CVE-2016-7571', 'CVE-2016-4542', 'CVE-2017-6920', 'CVE-2016-10161', 'CVE-2016-7127', 'CVE-2016-8612', 'CVE-2017-6923', 'CVE-2018-10549', 'CVE-2016-6289', 'CVE-2018-5711', 'CVE-2019-9020', 'CVE-2016-6292', 'CVE-2016-7478', 'CVE-2016-7128', 'CVE-2015-3185', 'CVE-2016-9137', 'CVE-2016-7134', 'CVE-2016-4537', 'CVE-2017-6922', 'CVE-2018-7600', 'CVE-2016-4979', 'CVE-2016-7417', 'CVE-2016-6296', 'CVE-2017-11144', 'CVE-2015-8994', 'CVE-2018-17199', 'CVE-2015-3184', 'CVE-2016-4543', 'CVE-2016-10397', 'CVE-2016-6290', 'CVE-2016-7413', 'CVE-2016-5768', 'CVE-2017-7890', 'CVE-2019-9675', 'CVE-2016-7132', 'CVE-2018-1312', 'CVE-2016-9449', 'CVE-2019-9641', 'CVE-2019-9022', 'CVE-2019-9638', 'CVE-2016-6297', 'CVE-2018-17082', 'CVE-2018-5712', 'CVE-2016-8740', 'CVE-2019-6977', 'CVE-2016-7131', 'CVE-2016-7416', 'CVE-2016-9452', 'CVE-2016-9933', 'CVE-2016-9450', 'CVE-2016-1546', 'CVE-2016-7133', 'CVE-2017-16642', 'CVE-2017-7668', 'CVE-2016-8743', 'CVE-2016-7412', 'CVE-2018-7584', 'CVE-2017-6924', 'CVE-2018-1283', 'CVE-2017-12934', 'CVE-2015-0228', 'CVE-2017-5340', 'CVE-2018-20783', 'CVE-2016-7130', 'CVE-2017-12932', 'CVE-2017-9798', 'CVE-2016-4540', 'CVE-2016-7572', 'CVE-2016-7414', 'CVE-2018-14851', 'CVE-2017-7679', 'CVE-2018-15132', 'CVE-2019-0211', 'CVE-2016-10158', 'CVE-2016-9138', 'CVE-2018-10547', 'CVE-2018-9861', 'CVE-2016-0736', 'CVE-2016-7129', 'CVE-2016-10162', 'CVE-2018-10548', 'CVE-2016-10159', 'CVE-2016-9934', 'CVE-2016-6291', 'CVE-2016-5093', 'CVE-2016-4539', 'CVE-2016-7418', 'CVE-2016-9935', 'CVE-2016-7570', 'CVE-2016-4544', 'CVE-2016-5773', 'CVE-2017-15715', 'CVE-2016-3132', 'CVE-2016-6212', 'CVE-2019-9024', 'CVE-2016-5399', 'CVE-2017-6925', 'CVE-2017-15710', 'CVE-2016-7479', 'CVE-2017-9120', 'CVE-2018-19518', 'CVE-2016-4975', 'CVE-2017-6379', 'CVE-2017-11628', 'CVE-2016-9936', 'CVE-2017-12933', 'CVE-2018-11763', 'CVE-2016-2161', 'CVE-2017-3169', 'CVE-2016-7568', 'CVE-2018-19935'}",901.9999999999993
./shodan-output/ABERDEENMD.GOV.json,0,set(),0.0
